,User_ID,Game_id,Game_name,Rating
16977,63441290,9480,Saints Row 2,1.8519836903760265
27543,136135322,48000,LIMBO,2.712183156173344
25318,97298878,214560,Mark of the Ninja,1.0839424663994337
28192,2753525,1250,Killing Floor,1.0021049797456918
9056,127272741,113200,The Binding of Isaac,1.239423975376047
32508,20200395,12120,Grand Theft Auto San Andreas,1.0146705244712466
20920,105503045,31280,Poker Night at the Inventory,1.0083507306889357
39594,67349307,570,Dota 2,1.0870650308663272
6026,34919318,203160,Tomb Raider,2.230662940049622
36006,155673786,22370,Fallout 3 Game of the Year Edition,2.8919026725169523
35657,156675178,22380,Fallout New Vegas,1.0416641385029268
9183,65958466,237990,The Banner Saga,2.1532443626323063
17284,76420334,386360,SMITE,1.655277023790518
5467,103624897,10500,Total War EMPIRE Definitive Edition,1.0027198851181385
73,119619506,17500,Zombie Panic Source,1.1365182119883648
37803,62990992,65800,Dungeon Defenders,4.091242597348147
52415,83671083,42700,Call of Duty Black Ops,1.297690349896525
793,8776918,201810,Wolfenstein The New Order,3.195412921112325
7875,111754806,242760,The Forest,1.5542708824917408
7291,153076975,257510,The Talos Principle,2.765782680122037
165,124725852,22200,Zeno Clash,2.492537313432836
20407,83135348,620,Portal 2,1.002105932807579
56206,130312302,33900,Arma 2,1.1366444579042998
25917,129117376,311340,METAL GEAR SOLID V GROUND ZEROES,1.594466403162056
28026,116283279,1250,Killing Floor,2.87201233616037
47224,274785080,273110,CounterStrike Nexon Studio,1.0109229929000527
1941,165779930,291480,Warface,2.3644514017361584
31136,82287546,220,HalfLife 2,1.975705936201675
45730,61189155,335300,DARK SOULS II Scholar of the First Sin,1.5588600484834152
55192,59825286,242920,Banished,2.854808057772709
6848,193156880,292030,The Witcher 3 Wild Hunt,1.200045110623552
12786,274785080,212800,Super Crate Box,2.218348623853212
22213,113227222,218620,PAYDAY 2,1.550999806258858
49641,36557643,238430,Contagion,1.0620620620620629
51511,50818751,10180,Call of Duty Modern Warfare 2,1.4261244380031308
36080,11794760,22370,Fallout 3 Game of the Year Edition,1.008177104108495
3837,67579257,304930,Unturned,1.0067344250888528
6879,185258131,20920,The Witcher 2 Assassins of Kings Enhanced Edition,4.089205051777649
35993,54293428,377160,Fallout 4,1.0000743300999733
5824,114030647,200710,Torchlight II,1.003540387991699
20194,145512685,620,Portal 2,1.5012558818045196
21741,30912860,239030,Papers Please,1.17925194071983
46142,154940949,223710,Cry of Fear,1.180869565217392
26636,79073449,550,Left 4 Dead 2,1.6456229332047458
57582,198914333,346900,AdVenture Capitalist,1.0839197719069815
30425,48798067,340,HalfLife 2 Lost Coast,2.23644251626898
31673,136135322,206190,Gunpoint,2.4277699859747552
43354,92276000,219740,Dont Starve,1.0090454786565806
43276,135400225,219740,Dont Starve,1.316368407828247
23131,134967717,104900,ORION Prelude,1.8931466470154763
386,33622085,200510,XCOM Enemy Unknown,1.152025051649535
53568,80128229,49520,Borderlands 2,1.0407801340221168
14425,119619506,63380,Sniper Elite V2,2.160039007476433
56622,73721802,57300,Amnesia The Dark Descent,1.8977886122235763
5675,113544961,200710,Torchlight II,2.0620583583627154
14738,59382844,202170,Sleeping Dogs,2.190091052444173
1602,111551727,230410,Warframe,1.298375599270166
58124,58618147,251570,7 Days to Die,2.0192614403140725
35877,49893565,377160,Fallout 4,2.381350577916528
28721,53875128,94200,Jamestown,1.1072796934865874
43013,82203951,570,Dota 2,1.0000273000106268
10814,148831715,440,Team Fortress 2,1.0519573244707106
43604,141873792,205100,Dishonored,1.043909647456195
12699,16081636,40800,Super Meat Boy,1.0803000220604448
2045,60217594,291480,Warface,1.0485745457995312
24525,10599862,48220,Might Magic Heroes VI,1.3174296412610222
2123,58905429,236390,War Thunder,3.304778327863381
54655,170068207,296050,Battlepaths,3.060150375939849
27372,69954842,500,Left 4 Dead,1.061755909421589
1067,46607365,56400,Warhammer 40000 Dawn of War II Retribution,2.709332423701266
58178,43684632,251570,7 Days to Die,1.039258986627409
4053,59945701,45760,Ultra Street Fighter IV,2.808669451482572
44147,51822361,214340,Deponia,1.0700525394045537
21763,66052983,240320,Panzar,3.531317494600432
57693,88579585,346110,ARK Survival Evolved,5.0
32893,49228258,12220,Grand Theft Auto Episodes from Liberty City,1.0362819072082212
4164,163432200,304050,Trove,4.682882284575793
29513,148362155,203140,Hitman Absolution,3.4117219394888423
30537,15841597,420,HalfLife 2 Episode Two,4.710765934654527
55991,89691468,33930,Arma 2 Operation Arrowhead,1.147233396742238
17638,103445207,4770,Rome Total War Alexander,1.2876106194690262
37902,36546868,65800,Dungeon Defenders,1.0039830197578763
30496,65716118,340,HalfLife 2 Lost Coast,1.195227765726679
31338,33622085,220,HalfLife 2,1.0107973616881436
47674,94195027,730,CounterStrike Global Offensive,1.5405010849777367
39620,150137344,570,Dota 2,1.0819391482763376
47812,132418423,730,CounterStrike Global Offensive,1.2744305880690856
33906,22301321,4000,Garrys Mod,1.0079798412478032
31969,116876958,12110,Grand Theft Auto Vice City,2.3585736297600706
57589,181385269,346900,AdVenture Capitalist,1.057550636979414
34430,26465134,33460,From Dust,1.1253507951356392
1184,8259307,56437,Warhammer 40000 Dawn of War II Retribution,1.0022473262836833
16224,50801801,41070,Serious Sam 3 BFE,1.388863942523575
6264,60611062,15300,Tom Clancys Ghost Recon,2.0500682100462195
259,11403772,223830,Xenonauts,1.5769669327251998
21558,181564172,238960,Path of Exile,1.067585611058751
14501,89523414,63380,Sniper Elite V2,1.1566800303391491
32466,243664576,12120,Grand Theft Auto San Andreas,1.051020823994453
35083,53875128,220240,Far Cry 3,2.491725768321513
14694,111163130,307690,Sleeping Dogs Definitive Edition,3.001204093919326
12505,27169419,40100,Supreme Commander 2,3.876984967181876
54320,87734805,7670,BioShock,2.141388174807197
17845,298950,252950,Rocket League,1.9296811120196256
8215,13190476,72850,The Elder Scrolls V Skyrim,2.2379470526581584
25748,82686146,40700,Machinarium,4.401360544217687
23353,148831715,224260,No More Room in Hell,1.290039358159253
50042,61632730,363970,Clicker Heroes,1.2196422774282325
9146,33013552,113200,The Binding of Isaac,1.0031512797493618
44891,167985276,221100,DayZ,1.1507821652539447
47708,127344335,730,CounterStrike Global Offensive,1.4593291355249345
26598,34901647,550,Left 4 Dead 2,1.810639140153643
28414,93275329,259080,Just Cause 2 Multiplayer Mod,1.2018908203720655
33050,194670621,265930,Goat Simulator,2.2120030332575
55580,96249915,268420,Aura Kingdom,5.0
41859,105159791,570,Dota 2,1.0028921712737402
53087,170460109,291550,Brawlhalla,1.095944177932839
3269,58435428,304930,Unturned,1.3202455207375623
12403,161991221,233720,Surgeon Simulator,2.6283185840707963
20702,19085114,400,Portal,1.2355002628351075
4490,84513749,57690,Tropico 4,1.1746785590177249
19032,49462664,207490,Rayman Origins,1.009950248756219
39683,64023574,570,Dota 2,1.0730075627141251
2690,80189887,242860,Verdun,1.5723684210526314
15601,6928806,3900,Sid Meiers Civilization IV,2.3860973704764383
46326,65117175,26900,Crayon Physics Deluxe,1.822429906542056
33853,29302014,4000,Garrys Mod,1.0194749956259588
18380,186483761,301520,Robocraft,1.0035617703317783
17314,237244349,386360,SMITE,1.079195273830435
45934,14465359,108800,Crysis 2 Maximum Edition,2.0696687877304627
