,User_ID,Game_id,Game_name,Rating
38269,46637811,570,Dota 2,3.9405680806238568
24155,49893565,237110,Mortal Kombat Komplete Edition,2.6682020690175934
42001,191244808,570,Dota 2,1.0022463426644288
3152,256645945,304930,Unturned,1.5841057627792616
10415,58057627,440,Team Fortress 2,1.1691290486217485
41055,27579751,570,Dota 2,1.0093471976640993
48639,72989129,80,CounterStrike Condition Zero,2.831791783179177
42878,161991221,570,Dota 2,1.0001666523036237
5029,92025878,201270,Total War SHOGUN 2,1.031139168226375
45967,125682446,108800,Crysis 2 Maximum Edition,1.16968510360581
24724,190191843,287390,Metro Last Light Redux,1.1823315853166596
21374,131463112,218740,Pid,5.0
45956,42657809,108800,Crysis 2 Maximum Edition,1.307391091532062
47923,273827660,730,CounterStrike Global Offensive,1.160170225633232
37721,7431946,236110,Dungeon Defenders II,2.5069370330843115
27397,14126086,500,Left 4 Dead,1.0249425512996724
34427,20772968,33460,From Dust,1.1777362020579971
7394,51557405,221910,The Stanley Parable,1.5169798878997698
10955,201152238,440,Team Fortress 2,1.035533383657704
55849,80351692,107410,Arma 3,1.0683081348703225
38121,102552233,17450,Dragon Age Origins,1.125079499682001
26046,16081636,45750,Lost Planet 2,2.354632587859425
23131,134967717,104900,ORION Prelude,1.8931466470154763
11354,207869089,440,Team Fortress 2,1.011092090724364
41419,175143479,570,Dota 2,1.0054632618256392
30412,82029808,340,HalfLife 2 Lost Coast,2.431670281995662
20974,108264287,386070,Planetary Annihilation TITANS,2.063147973609802
13981,99264709,244850,Space Engineers,1.0505025631841685
55611,102825821,268420,Aura Kingdom,1.0611270296084043
48809,23492094,80,CounterStrike Condition Zero,1.031070003107
49384,7527129,10,CounterStrike,1.001865022705759
9125,127344335,113200,The Binding of Isaac,1.0112126930616872
45678,51085779,24200,DC Universe Online,1.030376280830854
52620,93189271,42700,Call of Duty Black Ops,1.0037487214861645
10322,266278004,440,Team Fortress 2,1.2271460264761471
54341,107377573,7670,BioShock,1.4987146529562971
54455,232766649,346010,Besiege,3.427612655800575
31914,13190476,290790,Grey Goo,1.3055555555555567
7157,11373749,207610,The Walking Dead,2.034446581570204
27461,41719717,11340,Larva Mortus,2.714285714285714
